Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.173,9.801,117.612,0,0,117.612
54.758,0.17127,9.707,116.484,0.982,0.843,115.502
109.515,0.16954,9.612,115.344,1.944,1.685,113.4
164.273,0.16781,9.518,114.216,2.887,2.528,111.329
219.031,0.16608,9.423,113.076,3.809,3.369,109.267
273.788,0.16435,9.329,111.948,4.712,4.209,107.236
328.546,0.16262,9.234,110.808,5.595,5.049,105.213
383.303,0.16089,9.14,109.68,6.458,5.888,103.222
438.061,0.15916,9.045,108.54,7.301,6.727,101.239
492.819,0.15743,8.951,107.412,8.125,7.564,99.287
547.576,0.1557,8.856,106.272,8.928,8.401,97.344
602.334,0.15397,8.762,105.144,9.712,9.237,95.432
657.092,0.15224,8.667,104.004,10.476,10.073,93.528
711.849,0.15051,8.573,102.876,11.22,10.906,91.656
766.607,0.14878,8.479,101.748,11.944,11.739,89.804
821.365,0.14705,8.384,100.608,12.648,12.572,87.96
876.122,0.14532,8.29,99.48,13.333,13.403,86.147
930.88,0.14359,8.195,98.34,13.997,14.233,84.343
985.638,0.14186,8.101,97.212,14.642,15.062,82.57
1040.395,0.14013,8.006,96.072,15.267,15.891,80.805
1095.153,0.1384,7.912,94.944,15.872,16.717,79.072
1149.91,0.13667,7.817,93.804,16.458,17.545,77.346
1204.668,0.13494,7.723,92.676,17.023,18.368,75.653
1259.426,0.13321,7.628,91.536,17.569,19.194,73.967
1314.183,0.13148,7.534,90.408,18.094,20.014,72.314
1368.941,0.12975,7.44,89.28,18.6,20.833,70.68
1423.699,0.12802,7.345,88.14,19.086,21.654,69.054
1478.456,0.12629,7.251,87.012,19.553,22.472,67.459
1533.214,0.12456,7.156,85.872,19.999,23.289,65.873
1587.972,0.12283,7.062,84.744,20.426,24.103,64.318
1642.729,0.1211,6.967,83.604,20.832,24.917,62.772
1697.487,0.11937,6.873,82.476,21.219,25.727,61.257
1752.244,0.11764,6.778,81.336,21.586,26.539,59.75
1807.002,0.11591,6.684,80.208,21.934,27.346,58.274
1861.76,0.11418,6.589,79.068,22.261,28.154,56.807
1916.517,0.11245,6.495,77.94,22.568,28.956,55.372
1971.275,0.11072,6.4,76.8,22.856,29.76,53.944
2026.033,0.10899,6.306,75.672,23.124,30.558,52.548
2080.79,0.10726,6.212,74.544,23.372,31.353,51.172
2135.548,0.10553,6.117,73.404,23.6,32.151,49.804
2190.306,0.1038,6.023,72.276,23.808,32.94,48.468
2245.063,0.10207,5.928,71.136,23.997,33.734,47.139
2299.821,0.10034,5.834,70.008,24.166,34.519,45.842
2354.579,0.09861,5.739,68.868,24.314,35.305,44.554
2409.336,0.09688,5.645,67.74,24.443,36.084,43.297
2464.094,0.09515,5.55,66.6,24.552,36.865,42.048
